NOMBRE_CANDIDATO
AGUIRRE BONILLA OLIVIA
ALADRO ECHEVERRIA REBECA STELLA
BATRES GUADARRAMA LENIA
BONILLA GARCIA JAZMIN
CASTAÑEDA PEREZ MARISOL
CRUZ ALCALA SELENE
ESCUDERO MENDOZA SILVIA
ESQUIVEL MOSSA YASMIN
ESTRADA TENA FABIANA
FUENTES JIMENEZ ESTELA
GARCIA MENDOZA IRMA GUADALUPE
GARCIA VILLEGAS SANCHEZ CORDERO PAULA MARIA
GONZALEZ CENTENO ALMA DELIA
GONZALEZ TIRADO ROSA ELENA
GÜICHO GONZALEZ MONICA ARCELIA
HERRERIAS GUERRA SARA IRENE
IBARRA OLGUIN ANA MARIA
MADRIGAL VALDEZ LUTGARDA
MARTINEZ VALERO DORA ALICIA
MORALES IBAÑEZ MARISELA
MOSRI GUTIERREZ MAGDA ZULEMA
ORTIZ AHLF LORETTA
ORTIZ MONROY CYNTHIA
PEREZ ROMO LORENA JOSEFINA
REYES TERAN ARELY
RIOS GONZALEZ MARIA ESTELA
ROJAS OLVERA MARGARITA DARLENE
ROSILLO GARFIAS MA. CONSUELO
TAPIA GUTIERREZ INGRID DE LOS ANGELES
TELLEZ TORRES OROZCO NATALIA
UCARANZA SANCHEZ VERONICA ELIZABETH
ZARZA DELGADO LUZ MARIA
AGUILAR ORTIZ HUGO
ALLIER CAMPUZANO JAIME
ANAYA GALLARDO FEDERICO
CARLIN DE LA FUENTE ULISES
CORZO SOSA EDGAR
DAVILA RODRIGUEZ ABRAHAM AMIUD
DE PAZ GONZALEZ ISAAC
ESPINOSA BETANZO IRVING
ESPINOZA HERNANDEZ RAYMUNDO
FIGUEROA MEJIA GIOVANNI AZAEL
FLORES CASTRO MAURICIO
GARCIA GONZALEZ JAIME SALVADOR
GARCIA GUERRA ANGEL MARIO
GARDUÑO PASTEN RICARDO
GUERRERO GARCIA ARISTIDES RODRIGO
GUTIERREZ PRIEGO CESAR MARIO
HERNANDEZ PALACIOS MIRON LUIS RAFAEL
ILLANES OLIVARES ROBERTO SALVADOR
JIMENEZ GUTIERREZ JAVIER
LOPEZ ANDRADE GUILLERMO PABLO
LUNA JAIME FRANCISCO
MOLINA MARTINEZ SERGIO JAVIER
MOLINAR ROHANA LUIS EDWIN
ODRIOZOLA MARISCAL CARLOS ENRIQUE
OLMEDO PIÑA CESAR ENRIQUE
REGIS LOPEZ GABRIEL
SANTILLAN PEREZ EDUARDO
SODI CUELLAR RICARDO ALFREDO
SORELA CASTILLO ANTONIO
TORRES MALDONADO EDUARDO JOSE
TORTOLERO SERRANO MAURICIO RICARDO III
CAMACHO CONTRERAS ARIADNA
DE GYVES ZARATE EVA VERONICA
DIAZ DE LEON BENARD ABIGAIL
GARCIA PEREZ INDIRA ISABEL
GOMEZ SCHULZ VERONICA PATRICIA
GORDILLO ARGÜELLO ANABEL
HERNANDEZ HERNANDEZ LILIANA
JIMENEZ AGUIRRE FANY LORENA
MAYA GARCIA CELIA
OCHOA HERNANDEZ BLANCA ALICIA
OTERO GARCIA YOLANDA
PINEDO CORRALES MARTHA BEATRIZ
REYES OROPEZA MA. BELEN
RIVERA REYES JAZMIN GABRIELA
ROJAS LETECHIPIA MARIA ISABEL
SALINAS SILVA ROSA MARIA
SANCHEZ CASTILLO MONICA
URIBE OBREGON DENISSE DE LOS ANGELES
VERA MADRIGAL MARIA ELISA
VILLA BEDOLLA HASUBA
ALCUDIA VAZQUEZ JUAN PEDRO
AVILA MARTINEZ OCTAVIO
BATIZ VAZQUEZ BERNARDO
CARBAJAL DIAZ JUVENAL
CEJA GONZALEZ LUIS MIGUEL
CLEMENTE PEREZ JORGE ALFREDO
CRUZ RAMOS JORGE ANTONIO
DE LOS SANTOS CRUZ MIGUEL ANGEL
FRANCO GUEVARA ADOLFO
GALINZOGA ESPARZA GILDARDO
H LEON TOVAR RUFINO
JIMENEZ LOPEZ J. GUADALUPE
LAGUNES LEANO JORGE ISAAC
MONTIEL FLORES EMANUEL
RODRIGUEZ GARDUÑO ROGELIO ZACARIAS
SALAZAR SOBERANIS JUAN CARLOS
SANTANA TURRAL JAIME
ZUÑIGA MENDOZA JOSE ARTEMIO
BALDERAS FERNANDEZ CONCEPCION MARIA DEL ROCIO
DEL VALLE PEREZ GABRIELA EUGENIA
FAVELA HERRERA ADRIANA MARGARITA
PEREZ CRUZ SANDRA
RAMIREZ GARCIA DULCE MAGALLI
VALLE AGUILASOCHO CLAUDIA
BATIZ GARCIA GILBERTO DE GUZMAN
ESPINDOLA MORALES LUIS
FIGUEROA AVILA ENRIQUE
HERNANDEZ CRUZ ARMANDO
LARA PATRON RUBEN JESUS
QUEZADA GONCEN RODRIGO
SANCHEZ MORALES JORGE
SANCHEZ CORDERO GROSSMANN JORGE EMILIO
